c,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
-0.5,0.07970809936523438,1258379,1258388,27.513700892618353,0.768092704291336,5587,5595,44063.0,973.8929428817792,973.899072868393
-1, 0.025343894958496094,1636779,1636842,92.02623890926891,5.85713122725047,23032,23035,42289.0,1231.6259479352811,1231.6688607646356
1,0.05564677715301514,1709456,1709459,6.576646773963306,0.3253183279441313,10067,10070,34812.0,1281.1299315931974,1281.1319749609538
-1, 0.10070013999938965,1771096,1771100,14.34704431678708,0.3769317288125272,24823,24827,44149.0,1323.1149201017615,1323.1176447040925
1,0.05561220645904541,1792220,1792228,15.69671527177824,0.6221965956218747,489,497,49958.0,1337.5028263620698,1337.50827520014

