c,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
-0.5,0.001459360122680664,653642,653646,0.2618889925011665,0.0166379953371538,32986,32990,39630.0,561.9941028591493,561.9968272950064
-0.5,0.0013725757598876953,653655,653658,0.16748119780099557,0.014207993754008691,32999,33002,39630.0,562.0029574755681,562.0050009025726
-0.5,0.0012699365615844727,658024,658027,0.18831231390628655,0.014543487740527014,37356,37359,39630.0,564.97880737386,564.9808507966809
-0.5,0.0013679265975952148,658037,658040,0.18083541028441008,0.01427170841492492,37369,37372,39630.0,564.9876619721181,564.9897053949317
-0.5,0.0013011693954467773,658048,658051,0.15412377728866478,0.014091601671168059,37380,37383,39630.0,564.9951544552387,564.9971977780515
-0.5,0.0017687082290649414,658058,658072,1.027090858804784,0.031756399995259935,37390,37404,39630.0,565.0019657309022,565.0115014366093

